name;price;info;link;Серия:;"Размер прямоугольного корпуса, мм:";"Наличие на складе г. Смоленск:";"Глубина щели, мм:";Комплектация:;Корпус:;"Материал корпуса:";"Напряжение питания, В:";"Принцип действия:";"Резьба разъема:";Соединение:;Тип:;"Тип выходного сигнала:";"Тип света:";"Функция переключения:";"Частота переключения, Гц:";"Ширина щели, мм:";"Число контактов, pin:";"Страна происхождения:";"Температура эксплуатации Max, °C:";"Температура эксплуатации Min, °C:";"Сертификат соответствия:";"Вес, грамм:";"Защита от переполюсовки:";Индикация:;"Степень защиты:";"Минимальный диаметр объекта, мм:";"Длина волны, нм:";Особенности:;"Температура эксплуатации, °C:";"Потребление тока, мА:";"Влажность окружающей среды:";"Время отклика, мс:";"Длина кабеля, м:";"Защита от короткого замыкания:";"Защита от перегрузок по току:";"Макс. ток нагрузки, А:";"Расстояние срабатывания, мм:";"Минимальный зазор между объектами, мм:";Подключение:;Применение:;"Источник излучения:";"Кодировка разъема:";"Ширина этикетки Min, мм:";"Зазор между этикетками Min, мм:";Настройка:;"Класс безопасности систем управления SIL:";"Материал кабеля:";"Электрическое исполнение:";"Минимальный размер объекта, мм:";"Расположение разъема:";"Коммуникационный интерфейс:";"Температура окружающей среды, °C:";Дисплей:;"Класс защиты:";"Класс лазера:";"Защита от перегрузки:";"Диаметр светового пятна Max, мм:";"Регулировка чувствительности:";Модель:;Исполнение:;"Индикация срабатывания:";Модификация:;"Материал линзы:";"Максимальная скорость ленты, м/мин:";"Количество лучей:";"Количество проводов и сечение:";"Глубина установки (со стороны), мм:";"наличие в общем:";"Напряжение питания DC, В:";"(при использовании вне взрывоопасной зоны)";"5-30 DC";Кабель;IP67;-40…+100;NAMUR;NC;3000;"Длина стороны 1, мм:";"Длина стороны 2, мм:";"Потребляемая мощность, Вт:";5000;"(IEC 60825-1 : 2007";"Длина кабеля, мм:";"Активная зона обнаружения, мм:";Монтаж:;"Светодиодный индикатор:";"Время срабатывания, мс:";"Ширина щели:";Питание:;"Способ подключения:";"Тип излучателя:";"Функция на выходе:";"Частота переключений:";"Размеры рамки, мм:";"Глубина щели:";"Оптическая особенность:";"Наименование элемента:";"s:151:""В комплектацию не входят: ответные разъемы для подключения в систему и аксессуары.";стекло;DC;Разъем;"оптический щелевой датчик для контроля кромки и ширины объекта";LED;"инфракрасный свет";"PNP NO, 4.. 20 мА, 0.. 10 В, RS 232, RS 422";"400 Гц";"Количество оптических осей:";"PNP NO, 4.. 20 мА, 0.. 10 В, RS 232, RS 422, RS 485";"50 Гц";"Минимальный размер распознаваемого объекта:";"Размер метки, мм:";"Количество жил:";"Оптическая ось:";"Точность, мм:";"Рабочий диапазон, мм:";"Аналоговый выход по напряжению, В:";"Ширина активной области:"
"Вилочный датчик Telemecanique XUVR0605NBNM8";;"Число контактов, pin:;3;Серия:;XUVR;Источник излучения:;LED Светодиод;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-10;Вес, грамм:;190;Глубина щели, мм:;60;Минимальный диаметр объекта, мм:;0,8;Материал корпуса:;Алюминий / Пластик;Напряжение питания, В:;12-24 DC;Особенности:;Обнаружение на небольшом конвейере;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65/IP67;Температура эксплуатации, °C:;-10…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP;Тип света:;красный;Функция переключения:;на свет;Частота переключения, Гц:;4000;Ширина щели, мм:;50";https://sensoren.ru/product/vilochnyy_datchik_telemecanique_xuvr0605nbnm8/;XUVR;;;60;;;"Алюминий / Пластик";"12-24 DC";;M8;Разъем;"Оптический вилочный";PNP;красный;"на свет";4000;50;3;;60;-10;;190;;;IP65/IP67;0,8;;"Обнаружение на небольшом конвейере";-10…+60;;;;;;;;;;;;"LED Светодиод";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик ТЕКО OU NC4A-43N-30-LZS4";;"Потребление тока, мА:;35;Страна происхождения:;Россия;Серия:;OU;Время отклика, мс:;1;Температура эксплуатации Max, °C:;65;Температура эксплуатации Min, °C:;-15;Размер прямоугольного корпуса, мм:;60x59x15;Глубина щели, мм:;35;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Индикация:;есть;Количество лучей:;2;Корпус:;Щелевой;Макс. ток нагрузки, А:;0,1;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Соединение:;Разъем;Степень защиты:;IP67;Тип выходного сигнала:;NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;500;Ширина щели, мм:;30";https://sensoren.ru/product/shchelevoy_datchik_teko_ou_nc4a_43n_30_lzs4/;OU;60x59x15;;35;;Щелевой;Алюминий;"12-24 DC";;;Разъем;;NPN;"инфракрасный свет";"на свет/на затемнение";500;30;;Россия;65;-15;;;да;есть;IP67;;;;;35;;1;;да;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик ТЕКО OU NC3A-43N-20-LZS4";;"Потребление тока, мА:;35;Страна происхождения:;Россия;Серия:;OU;Время отклика, мс:;1;Температура эксплуатации Max, °C:;65;Температура эксплуатации Min, °C:;-15;Размер прямоугольного корпуса, мм:;50x49x15;Глубина щели, мм:;24;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Индикация:;есть;Количество лучей:;2;Корпус:;Щелевой;Макс. ток нагрузки, А:;0,1;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Соединение:;Разъем;Степень защиты:;IP67;Тип выходного сигнала:;NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;500;Ширина щели, мм:;20";https://sensoren.ru/product/shchelevoy_datchik_teko_ou_nc3a_43n_20_lzs4/;OU;50x49x15;;24;;Щелевой;Алюминий;"12-24 DC";;;Разъем;;NPN;"инфракрасный свет";"на свет/на затемнение";500;20;;Россия;65;-15;;;да;есть;IP67;;;;;35;;1;;да;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Micro Detectors FC6L/0B-0806-1F";"69 608 руб.";"Серия:;FC6I;Температура эксплуатации Max, °C:;50;Температура эксплуатации Min, °C:;-20;Наименование элемента:;Щелевой датчик Micro Detectors FC6L/0B-0806-1F;Глубина щели, мм:;59;Минимальный диаметр объекта, мм:;0,05;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+50;Тип выходного сигнала:;PNP/NPN;Тип света:;красный;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;80";https://sensoren.ru/product/shchelevoy_datchik_datasensing_fc6l_0b_0806_1f/;FC6I;;;59;;;Алюминий;"12-24 DC";;M8;Разъем;;PNP/NPN;красный;"на свет/на затемнение";10000;80;;;50;-20;;;да;;IP65;0,05;;;-20…+50;;;;;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Щелевой датчик Micro Detectors FC6L/0B-0806-1F";;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Micro Detectors FC5R/LN-1212-1F";"28 074 руб.";"Серия:;FC5R;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-10;Наименование элемента:;Щелевой датчик Micro Detectors FC5R/LN-1212-1F;Глубина щели, мм:;120;Минимальный диаметр объекта, мм:;0,8;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP67;Температура эксплуатации, °C:;-10…+60;Тип выходного сигнала:;NPN;Тип света:;красный;Функция переключения:;на свет;Частота переключения, Гц:;4000;Ширина щели, мм:;120";https://sensoren.ru/product/shchelevoy_datchik_datasensing_fc5r_ln_1212_1f/;FC5R;;;120;;;Алюминий;"12-24 DC";;M8;Разъем;;NPN;красный;"на свет";4000;120;;;60;-10;;;да;;IP67;0,8;;;-10…+60;;;;;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Щелевой датчик Micro Detectors FC5R/LN-1212-1F";;;;;;;;;;;;;;;;;;;;
"Вилочный датчик Telemecanique XUYFLNEP60080";;"Число контактов, pin:;4;Класс лазера:;1;Серия:;XUY;Источник излучения:;Лазер;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Вес, грамм:;190;Глубина щели, мм:;59;Минимальный диаметр объекта, мм:;0,05;Материал корпуса:;Алюминий / Пластик;Напряжение питания, В:;12-24 DC;Настройка:;Потенциометр;Особенности:;Обнаружение прозрачных объектов и меток на небольшом конвейере;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;80";https://sensoren.ru/product/vilochnyy_datchik_telemecanique_xuyflnep60080/;XUY;;;59;;;"Алюминий / Пластик";"12-24 DC";;M8;Разъем;"Оптический вилочный";PNP/NPN;"инфракрасный свет";"на свет/на затемнение";10000;80;4;;60;-20;;190;;;IP65;0,05;;"Обнаружение прозрачных объектов и меток на небольшом конвейере";-20…+60;;;;;;;;;;;;Лазер;;;;Потенциометр;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик ТЕКО OU NC01A5-43P-R2-LZS4";;"Потребление тока, мА:;25;Страна происхождения:;Россия;Регулировка чувствительности:;есть;Серия:;OU;Время отклика, мс:;1;Температура эксплуатации Max, °C:;65;Температура эксплуатации Min, °C:;-15;Размер прямоугольного корпуса, мм:;80x20x26;Глубина щели, мм:;50;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Индикация:;есть;Корпус:;Щелевой;Макс. ток нагрузки, А:;0,1;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Соединение:;Разъем;Степень защиты:;IP65;Тип выходного сигнала:;PNP;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;500;Ширина щели, мм:;2";https://sensoren.ru/product/shchelevoy_datchik_teko_ou_nc01a5_43p_r2_lzs4/;OU;80x20x26;;50;;Щелевой;Алюминий;"12-24 DC";;;Разъем;;PNP;"инфракрасный свет";"на свет/на затемнение";500;2;;Россия;65;-15;;;да;есть;IP65;;;;;25;;1;;да;;0,1;;;;;;;;;;;;;;;;;;;;;;есть;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Оптический датчик кромки NEFTIM NPP-52NV";;"Количество жил:;5;Точность, мм:;± 0,02;Серия:;NPP-52;Рабочий диапазон, мм:;6;Влажность окружающей среды:;относительная влажность 35% ~ 90%, без коагуляции;Светодиодный индикатор:;5 индикаторов LED: 2 желтых, 2 красных, 1 синий;Температура эксплуатации Max, °C:;80;Температура эксплуатации Min, °C:;-10;Аналоговый выход по напряжению, В:;0-5;Глубина щели, мм:;70;Защита от короткого замыкания:;да;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Настройка:;автоматическая / ручная;Применение:;Выравнивание края полотна при перемотке или резке;Резьба разъема:;M12;Соединение:;Разъем;Степень защиты:;IP65;Тип выходного сигнала:;2 x NPN / Аналоговый;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;100000/1000;Ширина щели, мм:;40";https://sensoren.ru/product/opticheskiy_datchik_kromki_neftim_npp_52nv/;NPP-52;;;70;;;Алюминий;"12-24 DC";;M12;Разъем;;"2 x NPN / Аналоговый";;"на свет/на затемнение";100000/1000;40;;;80;-10;;;;;IP65;;;;;;"относительная влажность 35% ~ 90%, без коагуляции";;;да;;;;;;"Выравнивание края полотна при перемотке или резке";;;;;"автоматическая / ручная";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5 индикаторов LED: 2 желтых, 2 красных, 1 синий";;;;;;;;;;;;;;;;;;;;;;;;;;5;;"± 0,02";6;0-5;
"Вилочный датчик Telemecanique XUYFANEP100050";;"Число контактов, pin:;4;Серия:;XUY;Источник излучения:;LED Светодиод;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Вес, грамм:;190;Глубина щели, мм:;95;Минимальный диаметр объекта, мм:;0,2;Материал корпуса:;Алюминий / Пластик;Напряжение питания, В:;12-24 DC;Настройка:;Функция обучения;Особенности:;Обнаружение двойного листа, этикеток, эталонных меток на малом и вибрирующем конвейере;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;50";https://sensoren.ru/product/vilochnyy_datchik_telemecanique_xuyfanep100050/;XUY;;;95;;;"Алюминий / Пластик";"12-24 DC";;M8;Разъем;"Оптический вилочный";PNP/NPN;"инфракрасный свет";"на свет/на затемнение";10000;50;4;;60;-20;;190;;;IP65;0,2;;"Обнаружение двойного листа, этикеток, эталонных меток на малом и вибрирующем конвейере";-20…+60;;;;;;;;;;;;"LED Светодиод";;;;"Функция обучения";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик ТЕКО OU NC3A5-43P-R20-LZS4";;"Потребление тока, мА:;35;Страна происхождения:;Россия;Серия:;OU;Время отклика, мс:;1;Температура эксплуатации Max, °C:;65;Температура эксплуатации Min, °C:;-15;Размер прямоугольного корпуса, мм:;50x49x15;Глубина щели, мм:;24;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Индикация:;есть;Количество лучей:;2;Корпус:;Щелевой;Макс. ток нагрузки, А:;0,1;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Соединение:;Разъем;Степень защиты:;IP65;Тип выходного сигнала:;PNP;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;500;Ширина щели, мм:;20";https://sensoren.ru/product/shchelevoy_datchik_teko_ou_nc3a5_43p_r20_lzs4/;OU;50x49x15;;24;;Щелевой;Алюминий;"12-24 DC";;;Разъем;;PNP;"инфракрасный свет";"на свет/на затемнение";500;20;;Россия;65;-15;;;да;есть;IP65;;;;;35;;1;;да;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Рамочный датчик Telemecanique XUYFRS120S";;"Число контактов, pin:;4;Размеры рамки, мм:;200x120;Серия:;XUY;Материал линзы:;Оргстекло;Температура эксплуатации Max, °C:;60;Размер прямоугольного корпуса, мм:;205x230x25;Вес, грамм:;1060;Минимальный диаметр объекта, мм:;10;Материал корпуса:;Алюминий;Напряжение питания, В:;24 DC;Настройка:;Регулировка чувствительности с помощью потенциометра;Особенности:;Динамическое и статическое обнаружение прохождения объектов;Применение:;Погрузочно-разгрузочные работы;Резьба разъема:;M12;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;0…+60;Тип:;Оптический рамочный;Тип выходного сигнала:;PNP/NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;5000";https://sensoren.ru/product/ramochnyy_datchik_telemecanique_xuyfrs120s/;XUY;205x230x25;;;;;Алюминий;"24 DC";;M12;Разъем;"Оптический рамочный";PNP/NPN;"инфракрасный свет";"на свет/на затемнение";5000;;4;;60;;;1060;;;IP65;10;;"Динамическое и статическое обнаружение прохождения объектов";0…+60;;;;;;;;;;;"Погрузочно-разгрузочные работы";;;;;"Регулировка чувствительности с помощью потенциометра";;;;;;;;;;;;;;;;;;Оргстекло;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200x120;;;;;;;;;;;;;;;;;;;;;;;
"Вилочный датчик Telemecanique XUYFLNEP100030";;"Число контактов, pin:;4;Класс лазера:;1;Серия:;XUY;Источник излучения:;Лазер;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Вес, грамм:;190;Глубина щели, мм:;95;Минимальный диаметр объекта, мм:;0,05;Материал корпуса:;Алюминий / Пластик;Напряжение питания, В:;12-24 DC;Настройка:;Потенциометр;Особенности:;Обнаружение прозрачных объектов и меток на небольшом конвейере;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;30";https://sensoren.ru/product/vilochnyy_datchik_telemecanique_xuyflnep100030/;XUY;;;95;;;"Алюминий / Пластик";"12-24 DC";;M8;Разъем;"Оптический вилочный";PNP/NPN;"инфракрасный свет";"на свет/на затемнение";10000;30;4;;60;-20;;190;;;IP65;0,05;;"Обнаружение прозрачных объектов и меток на небольшом конвейере";-20…+60;;;;;;;;;;;;Лазер;;;;Потенциометр;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Вилочный датчик Telemecanique XUYFANEP40002";;"Число контактов, pin:;4;Серия:;XUY;Источник излучения:;LED Светодиод;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Вес, грамм:;190;Глубина щели, мм:;42;Минимальный диаметр объекта, мм:;0,2;Материал корпуса:;Алюминий / Пластик;Напряжение питания, В:;12-24 DC;Настройка:;Функция обучения;Особенности:;Обнаружение двойного листа, этикеток, эталонных меток на малом и вибрирующем конвейере;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;2";https://sensoren.ru/product/vilochnyy_datchik_telemecanique_xuyfanep40002/;XUY;;;42;;;"Алюминий / Пластик";"12-24 DC";;M8;Разъем;"Оптический вилочный";PNP/NPN;"инфракрасный свет";"на свет/на затемнение";10000;2;4;;60;-20;;190;;;IP65;0,2;;"Обнаружение двойного листа, этикеток, эталонных меток на малом и вибрирующем конвейере";-20…+60;;;;;;;;;;;;"LED Светодиод";;;;"Функция обучения";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Вилочный датчик Telemecanique XUYFNEP40120";;"Число контактов, pin:;4;Серия:;XUY;Источник излучения:;LED Светодиод;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Вес, грамм:;190;Глубина щели, мм:;42;Минимальный диаметр объекта, мм:;0,2;Материал корпуса:;Алюминий / Пластик;Напряжение питания, В:;12-24 DC;Настройка:;Потенциометр;Особенности:;Обнаружение двойного листа, этикеток, эталонных меток на малом и вибрирующем конвейере;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;120";https://sensoren.ru/product/vilochnyy_datchik_telemecanique_xuyfnep40120/;XUY;;;42;;;"Алюминий / Пластик";"12-24 DC";;M8;Разъем;"Оптический вилочный";PNP/NPN;"инфракрасный свет";"на свет/на затемнение";10000;120;4;;60;-20;;190;;;IP65;0,2;;"Обнаружение двойного листа, этикеток, эталонных меток на малом и вибрирующем конвейере";-20…+60;;;;;;;;;;;;"LED Светодиод";;;;Потенциометр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик ТЕКО OU NC7A-43N-120-LZS4";;"Потребление тока, мА:;35;Страна происхождения:;Россия;Серия:;OU;Время отклика, мс:;1;Температура эксплуатации Max, °C:;65;Температура эксплуатации Min, °C:;-15;Размер прямоугольного корпуса, мм:;150x79x15;Глубина щели, мм:;46;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Индикация:;есть;Количество лучей:;2;Корпус:;Щелевой;Макс. ток нагрузки, А:;0,1;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Соединение:;Разъем;Степень защиты:;IP67;Тип выходного сигнала:;NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;500;Ширина щели, мм:;120";https://sensoren.ru/product/shchelevoy_datchik_teko_ou_nc7a_43n_120_lzs4/;OU;150x79x15;;46;;Щелевой;Алюминий;"12-24 DC";;;Разъем;;NPN;"инфракрасный свет";"на свет/на затемнение";500;120;;Россия;65;-15;;;да;есть;IP67;;;;;35;;1;;да;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик ТЕКО OMW NC02A5-43P-R2-LZS4";;"Потребление тока, мА:;40;Страна происхождения:;Россия;Регулировка чувствительности:;есть;Серия:;OM;Время отклика, мс:;125;Температура эксплуатации Max, °C:;65;Температура эксплуатации Min, °C:;-15;Размер прямоугольного корпуса, мм:;80x20x26;Размер метки, мм:;3х5;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Индикация:;есть;Корпус:;Щелевой;Макс. ток нагрузки, А:;0,1;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Расстояние срабатывания, мм:;2;Соединение:;Разъем M12;Степень защиты:;IP65;Тип выходного сигнала:;PNP;Тип света:;белый;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;4000";https://sensoren.ru/product/shchelevoy_datchik_teko_omw_nc02a5_43p_r2_lzs4/;OM;80x20x26;;;;Щелевой;Алюминий;"12-24 DC";;;"Разъем M12";;PNP;белый;"на свет/на затемнение";4000;;;Россия;65;-15;;;да;есть;IP65;;;;;40;;125;;да;;0,1;2;;;;;;;;;;;;;;;;;;;;;есть;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3х5;;;;;;
"Щелевой датчик Micro Detectors FC6L/0B-M510-1F";"61 532 руб.";"Серия:;FC6I;Температура эксплуатации Max, °C:;50;Температура эксплуатации Min, °C:;-20;Наименование элемента:;Щелевой датчик Micro Detectors FC6L/0B-M510-1F;Глубина щели, мм:;95;Минимальный диаметр объекта, мм:;0,05;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+50;Тип выходного сигнала:;PNP/NPN;Тип света:;красный;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;5";https://sensoren.ru/product/shchelevoy_datchik_datasensing_fc6l_0b_m510_1f/;FC6I;;;95;;;Алюминий;"12-24 DC";;M8;Разъем;;PNP/NPN;красный;"на свет/на затемнение";10000;5;;;50;-20;;;да;;IP65;0,05;;;-20…+50;;;;;да;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Щелевой датчик Micro Detectors FC6L/0B-M510-1F";;;;;;;;;;;;;;;;;;;;
"Вилочный датчик Telemecanique XUYFNEP40002";;"Число контактов, pin:;4;Серия:;XUY;Источник излучения:;LED Светодиод;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Вес, грамм:;190;Глубина щели, мм:;42;Минимальный диаметр объекта, мм:;0,2;Материал корпуса:;Алюминий / Пластик;Напряжение питания, В:;12-24 DC;Настройка:;Потенциометр;Особенности:;Обнаружение сдвоенного листа, прозрачных объектов и меток на небольшом конвейере;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;2";https://sensoren.ru/product/vilochnyy_datchik_telemecanique_xuyfnep40002/;XUY;;;42;;;"Алюминий / Пластик";"12-24 DC";;M8;Разъем;"Оптический вилочный";PNP/NPN;"инфракрасный свет";"на свет/на затемнение";10000;2;4;;60;-20;;190;;;IP65;0,2;;"Обнаружение сдвоенного листа, прозрачных объектов и меток на небольшом конвейере";-20…+60;;;;;;;;;;;;"LED Светодиод";;;;Потенциометр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Вилочный датчик Telemecanique XUVR1212NBNM8";;"Число контактов, pin:;3;Серия:;XUVR;Источник излучения:;LED Светодиод;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-10;Вес, грамм:;190;Глубина щели, мм:;120;Минимальный диаметр объекта, мм:;0,8;Материал корпуса:;Алюминий / Пластик;Напряжение питания, В:;12-24 DC;Особенности:;Обнаружение на небольшом конвейере;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65/IP67;Температура эксплуатации, °C:;-10…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP;Тип света:;красный;Функция переключения:;на свет;Частота переключения, Гц:;4000;Ширина щели, мм:;120";https://sensoren.ru/product/vilochnyy_datchik_telemecanique_xuvr1212nbnm8/;XUVR;;;120;;;"Алюминий / Пластик";"12-24 DC";;M8;Разъем;"Оптический вилочный";PNP;красный;"на свет";4000;120;3;;60;-10;;190;;;IP65/IP67;0,8;;"Обнаружение на небольшом конвейере";-10…+60;;;;;;;;;;;;"LED Светодиод";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
