name;price;info;link;is_available;"Тип корпуса";Приемник/Излучатель;"Материал корпуса";"Зона чувствительности, м";"Вид подключения";"Температура окружающей среды";"Длина кабеля, м";Особенности;"Схема выхода";"Функция выхода";"Частота переключения, Гц";Тип;"Направление оптической оси";"Зона чувствительности, мм";"Вид излучения";"Материал линз";"Тип переключения";"Обозначение резьбы";"Максимальное расстояние срабатывания, мм";"Температура объекта воздействия";"Угол поля зрения";"Материал кабеля";"Цвет излучения";"Степень защиты корпуса";"Функция защиты";"Количество лучей";"Разрешение, мм";"Высота контролируемой зоны, мм";"Время срабатывания, мс";"Защита коммутационного элемента";"Рабочее напряжение, В";"Аналоговый выход"
"Оптический датчик
ВБО-М18-86Р-3123-СА";"8 845 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: NPN; Зона чувствительности, мм: 5 - 100; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-m18-86r-3123-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";;"Разъем M12 ? 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Диффузный оптический";Прямое;"5 - 100";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-86Р-6123-СА";"10 648 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: NPN; Зона чувствительности, м: 0,05 - 1; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-86r-6123-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 1";"Разъем M12 ? 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Рефлекторный оптический";Прямое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-86Р-8123-СА";"10 648 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Прямое; Схема выхода: NPN; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-86r-8123-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";"0,1 - 4";"Разъем M12 ? 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Рефлекторный оптический";Прямое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18-86Р-9123-СА";"8 354 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Цилиндрический с резьбой; Приемник/Излучатель: Приемник; Материал корпуса: Латунь никелированная; Схема выхода: NPN; Зона чувствительности, м: 0 - 20; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-m18-86r-9123-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";Приемник;"Латунь никелированная";"0 - 20";"Разъем M12 ? 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-48В-3123-СА";"9 829 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: NPN; Зона чувствительности, мм: 5 - 100; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/datchik-vbo-m18u-48v-3123-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";;Кабель;"-25…+80 °С";;;NPN;НО/НЗ;;"Диффузный оптический";Угловое;"5 - 100";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-48В-5123-СА";"9 829 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: NPN; Зона чувствительности, мм: 10 - 400; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/datchik-vbo-m18u-48v-5123-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";;Кабель;"-25…+80 °С";;;NPN;НО/НЗ;;"Диффузный оптический";Угловое;"10 - 400";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-48В-6113-СА";"11 617 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: PNP; Зона чувствительности, м: 0,05 - 1; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/datchik-vbo-m18u-48v-6113-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 1";Кабель;"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";Угловое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-48В-6123-СА";"11 617 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: NPN; Зона чувствительности, м: 0,05 - 1; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/datchik-vbo-m18u-48v-6123-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 1";Кабель;"-25…+80 °С";;;NPN;НО/НЗ;;"Рефлекторный оптический";Угловое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-48В-7113-СА";"11 617 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: PNP; Зона чувствительности, м: 0,05 - 2; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/datchik-vbo-m18u-48v-7113-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 2";Кабель;"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";Угловое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-48С-3113-СА";"9 829 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: PNP; Зона чувствительности, мм: 5 - 100; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/datchik-vbo-m18u-48s-3113-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";;Кабель;"-25…+80 °С";;;PNP;НО/НЗ;;"Диффузный оптический";Угловое;"5 - 100";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-48С-3123-СА";"9 829 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: NPN; Зона чувствительности, мм: 5 - 100; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/datchik--vbo-m18u-48s-3123-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";;Кабель;"-25…+80 °С";;;NPN;НО/НЗ;;"Диффузный оптический";Угловое;"5 - 100";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-48С-6113-СА";"11 617 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: PNP; Зона чувствительности, м: 0,05 - 1; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Особенности: Возможность крепления доп. защиты кабеля";https://sensor-com.ru/sensors/datchik-vbo-m18u-48s-6113-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 1";Кабель;"-25…+80 °С";;"Возможность крепления доп. защиты кабеля";PNP;НО/НЗ;;"Рефлекторный оптический";Угловое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-48С-6123-СА";"11 617 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: NPN; Зона чувствительности, м: 0,05 - 1; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Особенности: Возможность крепления доп. защиты кабеля";https://sensor-com.ru/sensors/datchik-vbo-m18u-48s-6123-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 1";Кабель;"-25…+80 °С";;"Возможность крепления доп. защиты кабеля";NPN;НО/НЗ;;"Рефлекторный оптический";Угловое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-48С-7123-СА";"11 617 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: NPN; Зона чувствительности, м: 0,05 - 2; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Особенности: Возможность крепления доп. защиты кабеля";https://sensor-com.ru/sensors/datchik-vbo-m18u-48s-7123-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 2";Кабель;"-25…+80 °С";;"Возможность крепления доп. защиты кабеля";NPN;НО/НЗ;;"Рефлекторный оптический";Угловое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-48С-8113-СА";"11 617 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: PNP; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Особенности: Возможность крепления доп. защиты кабеля";https://sensor-com.ru/sensors/datchik-vbo-m18u-48s-8113-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";"0,1 - 4";Кабель;"-25…+80 °С";;"Возможность крепления доп. защиты кабеля";PNP;НО/НЗ;;"Рефлекторный оптический";Угловое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-48С-8123-СА";"11 617 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: NPN; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Особенности: Возможность крепления доп. защиты кабеля";https://sensor-com.ru/sensors/datchik-vbo-m18u-48s-8123-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";"0,1 - 4";Кабель;"-25…+80 °С";;"Возможность крепления доп. защиты кабеля";NPN;НО/НЗ;;"Рефлекторный оптический";Угловое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-58Р-3123-СА";"11 617 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: NPN; Зона чувствительности, мм: 5 - 100; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/datchik-vbo-m18u-58r-3123-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";;"Разъем M12 ? 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Диффузный оптический";Угловое;"5 - 100";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-58Р-6113-СА";"11 975 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: PNP; Зона чувствительности, м: 0,05 - 1; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/datchik-vbo-m18u-58r-6113-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 1";"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";Угловое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-58Р-6123-СА";"11 975 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: NPN; Зона чувствительности, м: 0,05 - 1; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/datchik-vbo-m18u-58r-6123-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 1";"Разъем M12 ? 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Рефлекторный оптический";Угловое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-58Р-7123-СА";"11 975 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: NPN; Зона чувствительности, м: 0,05 - 2; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/datchik-vbo-m18u-58r-7123-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 2";"Разъем M12 ? 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Рефлекторный оптический";Угловое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-58Р-8113-СА";"11 975 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: PNP; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/datchik-vbo-m18u-58r-8113-sa/;"Под заказ от 3 нед.";"Цилиндрический с резьбой";;"Латунь никелированная";"0,1 - 4";"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";Угловое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У18-50Р-5194-СА";"16 020 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP и NPN; Зона чувствительности, мм: 10 - 400; Функция выхода: НО/НЗ Прогр.; Тип переключения: Темно/Светло; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+70 °С; Вид излучения : Невидимый инфракрасный; Материал линз: Поликарбонат";https://sensor-com.ru/sensors/vbo-u18-50r-5194-sa/;"Под заказ от 3 нед.";Прямоугольный;;Полиамид;;"Разъем M12 ? 1";"-25…+70 °С";;;"PNP и NPN";"НО/НЗ Прогр.";;"Диффузный оптический";;"10 - 400";"Невидимый инфракрасный";Поликарбонат;Темно/Светло;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У18-50Р-8194-СА";"13 373 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP и NPN; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО/НЗ Прогр.; Тип переключения: Темно/Светло; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+70 °С";https://sensor-com.ru/sensors/vbo-u18-50r-8194-sa/;"Под заказ от 3 нед.";Прямоугольный;;Полиамид;"0,1 - 4";"Разъем M12 ? 1";"-25…+70 °С";;;"PNP и NPN";"НО/НЗ Прогр.";;"Рефлекторный оптический";;;;;Темно/Светло;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У18-50Р-9100-Н";"12 366 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Прямоугольный; Приемник/Излучатель: Излучатель; Материал корпуса: Полиамид; Зона чувствительности, м: 0 - 16; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+70 °С";https://sensor-com.ru/sensors/vbo-u18-50r-9100-n/;"Под заказ от 3 нед.";Прямоугольный;Излучатель;Полиамид;"0 - 16";"Разъем M12 ? 1";"-25…+70 °С";;;;;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У18-50У-8194-СА";"13 549 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP и NPN; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО/НЗ Прогр.; Тип переключения: Темно/Светло; Вид подключения: Кабель; Температура окружающей среды: -25…+70 °С";https://sensor-com.ru/sensors/vbo-u18-50u-8194-sa/;"Под заказ от 3 нед.";Прямоугольный;;Полиамид;"0,1 - 4";Кабель;"-25…+70 °С";;;"PNP и NPN";"НО/НЗ Прогр.";;"Рефлекторный оптический";;;;;Темно/Светло;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У18-50У-9300-Н";"12 308 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Прямоугольный; Приемник/Излучатель: Излучатель; Материал корпуса: Полиамид; Зона чувствительности, м: 0 - 16; Вид подключения: Кабель; Температура окружающей среды: -25…+70 °С";https://sensor-com.ru/sensors/vbo-u18-50u-9300-n/;"Под заказ от 3 нед.";Прямоугольный;Излучатель;Полиамид;"0 - 16";Кабель;"-25…+70 °С";;;;;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У18-50У-9373-ЛА";"12 017 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Прямоугольный; Приемник/Излучатель: Приемник; Материал корпуса: Полиамид; Схема выхода: реле; Зона чувствительности, м: 0 - 16; Функция выхода: НО/НЗ; Тип переключения: Темно/Светло; Вид подключения: Кабель; Температура окружающей среды: -25…+70 °С";https://sensor-com.ru/sensors/vbo-u18-50u-9373-la/;"Под заказ от 3 нед.";Прямоугольный;Приемник;Полиамид;"0 - 16";Кабель;"-25…+70 °С";;;реле;НО/НЗ;;"Барьерный оптический";;;;;Темно/Светло;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-1123-СА";"10 530 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: NPN; Зона чувствительности, мм: 100 - 1000; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-u25-80r-1123-sa/;"Под заказ от 3 нед.";Прямоугольный;;Полиамид;;"Разъем M12 ? 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Диффузный оптический";;"100 - 1000";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-2123-СА";"12 960 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: NPN; Зона чувствительности, м: 0,5 - 8; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80r-2123-sa/;"Под заказ от 3 нед.";Прямоугольный;;Полиамид;"0,5 - 8";"Разъем M12 ? 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Рефлекторный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-5123-СА";"10 172 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: NPN; Зона чувствительности, мм: 10 - 400; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-u25-80r-5123-sa/;"Под заказ от 3 нед.";Прямоугольный;;Полиамид;;"Разъем M12 ? 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Диффузный оптический";;"10 - 400";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-7111-С";"8 956 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, м: 0,1 - 2; Функция выхода: НО; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80r-7111-s/;"Под заказ от 3 нед.";Прямоугольный;;Полиамид;"0,1 - 2";"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО;;"Рефлекторный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-8111-СА";"9 640 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80r-8111-sa/;"Под заказ от 3 нед.";Прямоугольный;;Полиамид;"0,1 - 4";"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО;;"Рефлекторный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-8113-СА";"10 968 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80r-8113-sa/;"Под заказ от 3 нед.";Прямоугольный;;Полиамид;"0,1 - 4";"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-8123-СА";"9 918 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: NPN; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80r-8123-sa/;"Под заказ от 3 нед.";Прямоугольный;;Полиамид;"0,1 - 4";"Разъем M12 ? 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Рефлекторный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-9111-С";"8 744 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Прямоугольный; Приемник/Излучатель: Приемник; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, м: 0 - 16; Функция выхода: НО; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80r-9111-s/;"Под заказ от 3 нед.";Прямоугольный;Приемник;Полиамид;"0 - 16";"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-1111-СА";"9 839 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, мм: 100 - 1000; Функция выхода: НО; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-u25-80u-1111-sa/;"Под заказ от 3 нед.";Прямоугольный;;Полиамид;;Кабель;"-25…+80 °С";;;PNP;НО;;"Диффузный оптический";;"100 - 1000";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-1273-ЛГ";"12 847 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: реле; Зона чувствительности, мм: 100 - 1000; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80?С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-u25-80u-1273-lg/;"Под заказ от 3 нед.";Прямоугольный;;Полиамид;;Кабель;-25…+80?С;;;реле;НО/НЗ;;"Диффузный оптический";;"100 - 1000";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-2113-СА";"12 395 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, м: 0,5 - 8; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80u-2113-sa/;"Под заказ от 3 нед.";Прямоугольный;;Полиамид;"0,5 - 8";Кабель;"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-3273-Л";"10 510 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: реле; Зона чувствительности, мм: 5 - 100; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Вид излучения : 880; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-u25-80u-3273-l/;"Под заказ от 3 нед.";Прямоугольный;;Полиамид;;Кабель;"-25…+80 °С";;;реле;НО/НЗ;;"Диффузный оптический";;"5 - 100";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
